StudentId,LastName,FirstName,Age
0,ekekcprawh,ovjsfgxnbc,19
1,zrkczsfolj,opratkrtkf,19
2,lpmdywnzyo,rggsezdfys,18
3,bdjpntudnm,eertmvfcqs,18
4,crjepwhzho,npybwuozmd,21
5,vgjujmcetl,sqbfkegsre,20
6,ortzcjktqw,xiescrzrwo,22
7,fjefdefeth,uveoleksay,18
8,wsgzpbtois,dzmwafghwf,19
9,qrnncuvlxa,zlvmwzabhx,22
10,mekbvrgwdd,kbpmihfvqq,20
11,hhstfddivs,uersbmkzax,20
12,rqdrjqrxzf,nklxujsfet,19
13,qohdvkdvih,paoqmxddra,22
14,hxxfzyprjx,wbzxzjbjrl,19
15,xfiqzbbwji,kuyrqasxaj,22
16,gptayuisfv,xvsozdeace,19
17,pbygbjvkhg,ajcuekggzi,22
18,jgaiaticcl,odwbxmsmdw,19
19,godyfwudnr,yyjeaqrdgq,18
20,pbgouhkutk,zlyckwxtiv,18
21,xejtyqjzzc,fppgmqxrkq,19
22,pjucaorgfr,wxqecluegl,20
23,yumuaxhiei,zbvtolsquf,20
24,pqgfdcajzr,gtrcgmvlaa,19
25,oaoyudffmx,tquibvnhkr,19
26,lgjqvljntq,ccmbcrdton,18
27,vikgimerlc,qitlxvrnqf,22
28,gcrymcwxir,lhrlziumxp,22
29,yrndhpvtxv,rnntqicweu,19
30,bxkyuvlusm,bjaigrzkxd,19
31,jfbzhrqpyf,kxacgkxmng,19
32,otaayhdnoh,oaumdwoyts,19
33,ycthffcxej,wdzkbyqdmq,18
34,ptpafzhrjt,vqnpvhtdus,22
35,nyziaevyhe,rcsoqeywsj,21
36,bpfiymruxy,fvqjzuitbv,22
37,evgakraumh,yptjaswwor,19
38,vbnvtxjkea,vyfcjdbjuq,20
39,ydcessrjyd,siepfwzygj,22
40,cjuwcritkq,eawatvvwck,21
41,vgppecomae,mjbbxczswx,20
42,vowwcirykl,mktaafuubj,22
43,tvwzisjhnw,xnbxshsumr,21
44,pttupqblcv,bezyybexqi,22
45,lcwrwjqzbo,tlevyyltje,18
46,lkcngehdny,gplrcnowcz,18
47,vzmbdekvgp,yrgjsnrruf,22
48,djqekurzyv,xbmuuojebn,21
49,silzknwaob,aicrervpze,22
